,symbol,name
397,REGN,Regeneron
398,RF,Regions Financial Corporation
399,RSG,Republic Services
400,RMD,ResMed
401,RVTY,Revvity (Previously PerkinElmer)
402,RHI,Robert Half
403,ROK,Rockwell Automation
404,ROL,"Rollins, Inc."
405,ROP,Roper Technologies
406,ROST,Ross Stores
407,RCL,Royal Caribbean Group
408,SPGI,S&P Global
409,CRM,Salesforce
410,SBAC,SBA Communications
411,SLB,Schlumberger
412,STX,Seagate Technology
413,SRE,Sempra Energy
414,NOW,ServiceNow
415,SHW,Sherwin-Williams
416,SPG,Simon Property Group
417,SWKS,Skyworks Solutions
418,SJM,J.M. Smucker Company (The)
419,SNA,Snap-on
420,SO,Southern Company
421,LUV,Southwest Airlines
422,SWK,Stanley Black & Decker
423,SBUX,Starbucks
424,STT,State Street Corporation
425,STLD,Steel Dynamics
426,STE,Steris
427,SYK,Stryker Corporation
428,SYF,Synchrony Financial
429,SNPS,Synopsys
430,SYY,Sysco
431,TMUS,T-Mobile US
432,TROW,T. Rowe Price
433,TTWO,Take-Two Interactive
434,TPR,"Tapestry, Inc."
435,TRGP,Targa Resources
436,TGT,Target Corporation
437,TEL,TE Connectivity
438,TDY,Teledyne Technologies
439,TFX,Teleflex
440,TER,Teradyne
441,TSLA,"Tesla, Inc."
442,TXN,Texas Instruments
443,TXT,Textron
444,TMO,Thermo Fisher Scientific
445,TJX,TJX Companies
446,TSCO,Tractor Supply
447,TT,Trane Technologies
448,TDG,TransDigm Group
449,TRV,Travelers Companies (The)
450,TRMB,Trimble Inc.
451,TFC,Truist
452,TYL,Tyler Technologies
453,TSN,Tyson Foods
454,USB,U.S. Bank
455,UBER,Uber
456,UDR,"UDR, Inc."
457,ULTA,Ulta Beauty
458,UNP,Union Pacific Corporation
459,UAL,United Airlines Holdings
460,UPS,United Parcel Service
461,URI,United Rentals
462,UNH,UnitedHealth Group
463,UHS,Universal Health Services
464,VLO,Valero Energy
465,VTR,Ventas
466,VLTO,Veralto
467,VRSN,Verisign
468,VRSK,Verisk
469,VZ,Verizon
470,VRTX,Vertex Pharmaceuticals
471,VFC,VF Corporation
472,VTRS,Viatris
473,VICI,Vici Properties
474,V,Visa Inc.
475,VMC,Vulcan Materials Company
476,WRB,Berkley
477,WAB,Wabtec
478,WBA,Walgreens Boots Alliance
479,WMT,Walmart
480,DIS,Walt Disney
481,WBD,Warner Bros. Discovery
482,WM,Waste Management
483,WAT,Waters Corporation
484,WEC,WEC Energy Group
485,WFC,Wells Fargo
486,WELL,Welltower
487,WST,West Pharmaceutical Services
488,WDC,Western Digital
489,WRK,WestRock
490,WY,Weyerhaeuser
491,WHR,Whirlpool Corporation
492,WMB,Williams Companies
493,WTW,Willis Towers Watson
494,GWW,W. W. Grainger
495,WYNN,Wynn Resorts
496,XEL,Xcel Energy
497,XYL,Xylem Inc.
498,YUM,Yum! Brands
499,ZBRA,Zebra Technologies
500,ZBH,Zimmer Biomet
501,ZION,Zions Bancorporation
502,ZTS,Zoetis
0,^GSPC,S&P 500
1,^DJI,Dow Jones Industrial Average
2,^IXIC,NASDAQ Composite
3,^RUT,Russell 2000
4,^VIX,CBOE Volatility Index
5,^GSPTSE,S&P/TSX Composite index (Toronto Stock Exchange)
6,^FTSE,FTSE 100 (London Stock Exchange)
7,^STOXX50E,ESTX 50 PR.EUR
8,^N100,Euroext 100 Index
9,^N225,Nikkei 225
10,^KS11,KOSPI Composite Index
11,^HSI,HANG SENG INDEX
12,000001.SS,SSE Composite Index (Shanghai Stock Exchange)
13,^BSESN,S&P BSE SENSEX (Bombay Stock Exchange)
0,CAD=X,USD to CAD (CAD of 1 USD)
1,EURUSD=X,EUR to USD (USD of 1 EUR)
2,GBPUSD=X,GBP to USD (USD of 1 GBP)
3,JPY=X,USD to JPY (JPY of 1 USD)
4,CNY=X,USD to CNY (CNY of 1 USD)
5,BTC-USD,Bitcoin to USD (USD of 1 BTC)
6,BTC=F,Bitcoin Futures
7,GC=F,Gold future to USD (USD of 1 Gold)
8,CL=F,Crude oil future (USD of 1 light crude oil)
9,ES=F,E-Mini S&P 500 Sep 23
10,YM=F,Mini Dow Jones Indus.-$5 Sep 23
11,NQ=F,Nasdaq 100 Sep 23
12,ZB=F,"U.S. Treasury Bond Futures,Sep"
